No	Smiles	Group	ClosenessCentrality	Color
0	CCCCCC/C=C\C=O	333	0.046790800921001796	dark_red
1	CC(=C)C1=CC(=NC=C1)C(=O)C  	333	0.05902135975433642	dark_red
2	CCCCC/C=C/C=O 	333	0.049420994560876966	dark_red
4	CCCCC/C=C\CCC=O	333	0.04955587991272407	dark_red
6	CCCCCCCCC=O	333	0.055419383045658875	dark_red
15	CCCCCCCCC/C=C/C=O	333	0.04724165221653146	dark_red
17	CCC1C(=NC(O1)C)C	333	0.06918853366967986	dark_red
18	CCC(S)SC(CC)S	333	0.06349672557950378	dark_red
22	CC=O 	333	0.061381007789761216	dark_red
23	CC(C)C=O	333	0.059645943752603826	dark_red
31	CSCC[C@@H](C(=O)O)N	333	0.061872728851703106	dark_red
32	CC(CCC=C(C)C)C=O 	333	0.040955094420570944	dark_red
34	CCC1SC(SC(S1)CC)CC	333	0.0690051448129673	dark_red
35	CCCCC(CC=O)SC 	333	0.05727259020366274	dark_red
37	CC(C(=O)C)O	333	0.06516176051015816	dark_red
39	CCCCCCCCCC=O	333	0.056565988278120836	dark_red
47	CCC(C)C(C)C=O	333	0.06021680682472727	dark_red
52	CCCCCC=O	333	0.056434076143373695	dark_red
53	CC/C=C\CCO	333	0.05792413055306734	dark_red
56	CCCC/C=C/C=O	333	0.05216932195561123	dark_red
57	CC/C=C/C=O	333	0.06654060580932054	dark_red
58	CC(C)CCO	333	0.05610601024605338	dark_red
62	CCCCCCCCCCON 	333	0.044994455657871066	dark_red
67	CCC/C=C/CO  	333	0.05628535364261076	dark_red
68	C1=CC=C2C(=C1)C=CC(=O)O2	333	0.04718951832238407	dark_red
70	C[C@H]1CCO[C@H](C1)C=C(C)C	333	0.04473758877234957	dark_red
71	CCCCC(CC)CO	333	0.04834504510594016	dark_red
72	CCC/C=C/CCCCC=O	333	0.04905050586830823	dark_red
74	CCCCCCCO 	333	0.04525606257728762	dark_red
78	C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC=O	333	0.041665350156819415	dark_red
80	C[C@@]1(CC[C@H](C(O1)(C)C)O)C=C 	333	0.047643590543459825	dark_red
81	CCCCCCCCCO 	333	0.04608506170781173	dark_red
82	C/C=C/C(C)O  	333	0.06484902595580298	dark_red
86	CC/C=C\C=C\C=C	333	0.06914030593946874	dark_red
90	CCCCCCCC/C=C/C=O 	333	0.04584621857621831	dark_red
91	CC(=CC(=O)C(C)(C)C=C)C  	333	0.0566332100520951	dark_red
94	 CCCC(C)O 	333	0.054817243125806464	dark_red
98	CC(C)CC(=O)OC1CC2CCC1(C2(C)C)C 	333	0.04330928015459662	dark_red
99	CC(C)C=O  	333	0.05964367303872837	dark_red
100	C/C=C/C=C/C=O  	333	0.07058871295072862	dark_red
101	CC1=C(C(=C(C=C1)C)/C=C\C(=O)C)C  	333	0.07037572564227403	dark_red
104	CCCC/C=C\O  	333	0.04825184062767142	dark_red
105	CC/C=C\CCO  	333	0.05853287601942741	dark_red
106	CC/C=C\CC=O  	333	0.06939675854315742	dark_red
107	CC/C=C/CC=O  	333	0.0696951190789448	dark_red
108	CCC/C=C/C=O  	333	0.05802681383629266	dark_red
109	CCCCCCO  	333	0.046214021429298535	dark_red
112	CC/C=C\CCOC(OCC/C=C\CC)C	333	0.054399796170325074	dark_red
113	CCCCCCOC(C)OCCCCCC	333	0.044688855891012076	dark_red
114	CCCOC(C)OCCC	333	0.05383959672697364	dark_red
115	CCCCCCOC(C)OC	333	0.04446759994167499	dark_red
116	CC(C)C1(C(=O)N(C(=N1)C2=C(C=CC(=N2)COC(=O)C)C(=O)OC)C(=O)C)C	333	0.06251629587777101	dark_red
121	C/C=C(\C)/C(=O)OCC=C	333	0.06641832865649361	dark_red
129	CC1(C2CCC1(C(C2)OC=O)C)C	333	0.04166532330476044	dark_red
130	CC1(C2CCC1(C(C2)OC(=O)C3=CC=CC=C3O)C)C 	333	0.04386772349068828	dark_red
143	CC1=CCC(CC1OC(=O)C)C(=C)C	333	0.05663928958771318	dark_red
147	C/C=C(\C)/C/C=C(\C)/CC(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C  	333	0.06143516244644527	dark_red
149	CC(C)CC(=O)CC(C)C 	333	0.06537768427721884	dark_red
152	CC(C=O)C1CCCCC1  	333	0.05910133041345871	dark_red
153	CCCCCCCCCC1OCC(O1)C  	333	0.03961942016171787	dark_red
154	CC/C=C/C/C=C/C=C/C=O 	333	0.06720939897036489	dark_red
155	CC/C=C\C/C=C/C=C/C=O  	333	0.06720907344715173	dark_red
156	CC1(CCCC(O1)(C)C=C)C  	333	0.04778961328056709	dark_red
158	COC1=C(C=C(C=C1)C=C)OC 	333	0.05488629920524473	dark_red
163	CCC(C)C(C)C=O  	333	0.060215130510478346	dark_red
166	CCCC1CC=C(C(S1)CCC)C=O  	333	0.07127483749469797	dark_red
167	CCCCCCCCCCCC(OC)OC  	333	0.0394654913532394	dark_red
168	CCCCCCCCC/C=C/C=O  	333	0.04679037997373343	dark_red
171	CC1(C2CC1C3(C(C2)O3)C)C  	333	0.044796493851121943	dark_red
172	CCOC(C)OC(=O)C  	333	0.05070631944882174	dark_red
174	CCC(CC)C=O  	333	0.061067646214918475	dark_red
185	CC(=O)OCCOC(=O)C  	333	0.06137499785946558	dark_red
189	C1=COC(=C1)/C=C/C=O  	333	0.0695851165360638	dark_red
190	CC/C=C/C=C/C=O  	333	0.06871457404839522	dark_red
191	CC/C=C/C=C/CO	333	0.06454118001992469	dark_red
192	CCCC/C=C/C=O  	333	0.05169766762510263	dark_red
193	CCCC/C=C/C(=O)O  	333	0.043480868012802265	dark_red
197	C/C=C/C=C/C=O 	333	0.07063472135939283	dark_red
198	C/C=C/C=C/CO  	333	0.06530656368388121	dark_red
199	CCCCCC1OC(C(O1)C)C 	333	0.04062906105453283	dark_red
200	CCC/C=C/C=O 	333	0.05682742349198767	dark_red
201	CCC/C=C\C=O  	333	0.05794318319074397	dark_red
202	 CC/C=C/CC=O  	333	0.06911310081002413	dark_red
203	 CC/C=C\CC=O  	333	0.06881866694517598	dark_red
204	C/C=C/CCC=O  	333	0.04986126008172659	dark_red
213	CC1C=CCCC1(C)C=O  	333	0.059545544170276764	dark_red
214	CC(=C)[C@@H]1CC[C@@]2(C(C1)O2)C	333	0.04526002379626808	dark_red
217	CC1=CC=C(O1)C(C)CC=O 	333	0.05555740445673742	dark_red
218	CC(C)CCCCC=O  	333	0.04793145346821404	dark_red
221	CC(=C)CCC(=O)C  	333	0.06224218579197765	dark_red
222	CC1CC2(CCC1C(O2)C(C)C)C 	333	0.051026638527616415	dark_red
223	CCC(C)(CC)O	333	0.06541468456930219	dark_red
230	CCCC/C=C/C=C/C=O 	333	0.05088499483573864	dark_red
231	CC/C=C\CC/C=C/C=O  	333	0.06303258233582361	dark_red
232	 CC/C=C/CC/C=C/C=O  	333	0.06238985029093368	dark_red
233	CC/C=C\CC/C=C/C=O	333	0.0631088750585485	dark_red
234	CC/C=C\CC/C=C/CO  	333	0.06130439980219672	dark_red
235	CCC=CCC=CCCO	333	0.058620601291473846	dark_red
236	CC/C=C\C/C=C/CCO	333	0.059282234648077387	dark_red
237	CCC=CCC=CCCO  	333	0.057890898377314516	dark_red
240	 CC/C=C/C=C/C=C/C=O  	333	0.068370779513432	dark_red
241	CCCCC/C=C\CC=O  	333	0.051545767297530146	dark_red
242	CC/C=C\CCCCC=O  	333	0.05019948381609415	dark_red
244	CCCCCC/C=C/CO  	333	0.04969599639638086	dark_red
245	CCCCCC/C=C\CO  	333	0.05088812091596128	dark_red
246	CCCCC/C=C/CCO 	333	0.051034867410137456	dark_red
247	CC/C=C\CCCCCO  	333	0.05310561103231598	dark_red
248	CCCCCCC#CC(OC)OC	333	0.03662390429603658	dark_red
249	CCC/C=C/C=C/C=O  	333	0.05569727285906302	dark_red
250	C/C=C/CC/C=C/C=O  	333	0.0609035295075131	dark_red
252	CC/C=C\C=C\C(=O)C  	333	0.07080650038216386	dark_red
253	 CCCCC/C=C/C=O  	333	0.048868372889463496	dark_red
254	C/C=C/CCCCC=O  	333	0.04831396061708056	dark_red
255	CC(CCC=C(C)C)CCO  	333	0.0390468947134142	dark_red
256	CCCCC/C=C/CO  	333	0.05167788378020443	dark_red
257	CC/C=C\CCCCO 	333	0.05354010625336189	dark_red
261	CC/C=C/C=O  	333	0.06659229223933351	dark_red
262	CC/C=C\CO  	333	0.062446238952665906	dark_red
264	CC(C=O)C1=CC=CC=C1  	333	0.05664793243416058	dark_red
267	C/C=C(\C)/C=O  	333	0.062659077669663	dark_red
268	CC1CCOC(S1)(C)C  	333	0.050079069347344865	dark_red
269	CC1OCCC(S1)(C)C  	333	0.05050167557378878	dark_red
270	CCCCCC/C=C/C=C/C=O  	333	0.046762549723302134	dark_red
271	 CCCCCC=CC(CC=C)O  	333	0.04756232477041848	dark_red
272	CCCCC/C=C/C=C/C(=O)C  	333	0.042609189995298745	dark_red
278	CCC/C=C\1/C2=CC=CC=C2C(=O)O1  	333	0.061860134379295176	dark_red
279	C1CCC(C1)C2CCCC2=O  	333	0.05370238251810089	dark_red
280	CCC/C=C/CCCCC=O  	333	0.048194424947590284	dark_red
281	CCCCC/C=C\CCC(=O)O 	333	0.042959258487726484	dark_red
282	CCCC/C=C\CCCC(=O)O  	333	0.043492410098347416	dark_red
284	CCCCCC/C=C/C(=O)C 	333	0.04234066487560986	dark_red
285	CC(C)CCCCCCCOC(=O)C  	333	0.06288689188965513	dark_red
289	CC(C)CCC(C)C(C)O  	333	0.056149720113660886	dark_red
290	CCCCC/C=C\CC/C=C/C=O 	333	0.048252322115282444	dark_red
