Name	Smiles	Odor	Reference
(Z)-2-nonenal	CCCCCC/C=C\C=O	green	Odour Database on the Web
4-isopropenylpyridine	CC(=C)C1=CC(=NC=C1)C(=O)C  	green	Odour Database on the Web
2-octenal	CCCCC/C=C/C=O 	green	Odour Database on the Web
2-isobutyl-3-methoxypyrazine	CC(C)CC1=NC=CN=C1OC 	green	Odour Database on the Web
(Z)-4-decenal	CCCCC/C=C\CCC=O	green	Odour Database on the Web
2-tridecanone	CCCCCCCCCCCC(=O)C	green	Odour Database on the Web
nonanal	CCCCCCCCC=O	green	Odour Database on the Web
2-butylpyridine	 CCCCC1=CC=CC=N1	green	Odour Database on the Web
2,3-dimethylpyrazine	CC1=NC=CN=C1C	green	Odour Database on the Web
4-butyloxazole	CCCCC1=COC=N1	green	Odour Database on the Web
4-methyl-5-propyloxazole	CCCC1=C(N=CO1)C	green	Odour Database on the Web
4-methyl-5-butyloxazole	CCCCC1=C(N=C(O1)C2=CC=CC=C2)C	green	Odour Database on the Web
4-ethyl-5-propyloxazole	CCCC1=C(N=C(O1)C)CC	green	Odour Database on the Web
4-ethyl-5-butyloxazole	CCCCC1=C(N=C(O1)C)CC	green	Odour Database on the Web
4-ethyl-5-pentyloxazole	CCCCCC1=C(N=CO1)CC	green	Odour Database on the Web
(E)-2-dodecenal	CCCCCCCCC/C=C/C=O	green	Odour Database on the Web
2,4-diethyl-5-propyloxazole	CCCC1=C(N=C(O1)CC)CC 	green	Odour Database on the Web
2,4-dimethyl-5-ethyl-3-oxazoline	CCC1C(=NC(O1)C)C	green	Odour Database on the Web
bis(1-mercaptopropyl)sulfide	CCC(S)SC(CC)S	green	Odour Database on the Web
ethyl hexanoate	CCCCCC(=O)OCC	green	Odour Database on the Web
6-pentyl-alpha-pyrone	CCCCCC1=CC=CC(=O)O1 	green	Odour Database on the Web
(Z)-4-octen-1-yl 3-methylbutanoate	CCC/C=C\CCCOC(=O)CC(C)C	green	Odour Database on the Web
ethanal	CC=O 	green	Odour Database on the Web
2-methylpropanal	CC(C)C=O	green	Odour Database on the Web
hexan-2-yl pentanoate	CCCCC(C)OC(=O)CCCC	green	Odour Database on the Web
4-isobutyl-5-ethoxy-2-methylthiazole	CCOC1=C(N=C(S1)C)CC(C)C	green	Odour Database on the Web
2-ethylpyrazine	CCC1=NC=CN=C1 	green	Odour Database on the Web
5-butyloxazole	CCCCC1=CN=CO1 	green	Odour Database on the Web
4,5-dimethyloxazole	CC1=C(OC=N1)C	green	Odour Database on the Web
2-propyl-3-thiazoline	CCCC1N=C(CS1)C(=O)OC	green	Odour Database on the Web
2-propylthiazole	CCCC1=NC=CS1	green	Odour Database on the Web
butanoic acid (butyric acid)	CSCC[C@@H](C(=O)O)N	green	Odour Database on the Web
2,6-dimethyl-5-heptenal	CC(CCC=C(C)C)C=O 	green	Odour Database on the Web
2-nonanone	CCCCCCCC(=O)C 	green	Odour Database on the Web
2,4,6-triethyl-1,3,5-trithiane	CCC1SC(SC(S1)CC)CC	green	Odour Database on the Web
3-(methylthio)heptanal	CCCCC(CC=O)SC 	green	Odour Database on the Web
2-(2',3'-epoxy-3'-methylbutyl)-3-methylfuran	CC1=C(OC=C1)CC2C(O2)(C)C	green	Odour Database on the Web
